"Date","Open","High","Low","Close"
2000-01-03,6024.38,6102.12,5901.77,5917.37
2000-01-04,5922.23,5925.07,5657.2,5672.02
2000-01-05,5521.83,5589.5,5461.59,5479.7
2000-01-06,5485.93,5530.26,5388.85,5450.11
2000-01-07,5423.88,5561.69,5423.88,5539.61
2000-01-10,5625.82,5717.44,5616.98,5646.12
2000-01-11,5726.51,5726.51,5571.99,5613.9
2000-01-12,5541.23,5628.73,5536.5,5582.5
2000-01-13,5586.25,5682.27,5579.49,5633.24
2000-01-14,5669.14,5804.16,5664.71,5787.44
2000-01-17,5834.75,5857.36,5740.19,5842.78
2000-01-18,5859.44,5859.44,5670.27,5672.95
2000-01-19,5664.92,5668.06,5590.19,5649.46
2000-01-20,5713.04,5727.82,5660.25,5709.74
2000-01-21,5656.1,5738.16,5630.63,5681.32
2000-01-24,5687.36,5777.68,5680.6,5690.86
2000-01-25,5601.18,5654.52,5590.17,5597.5
2000-01-26,5636.61,5687.43,5618.96,5646.32
2000-01-27,5671.64,5727.53,5625.23,5688.35
2000-01-28,5743.2,5813.28,5696.09,5731.05
2000-01-31,5677.79,5707.88,5625.72,5659.81
2000-02-01,5700.87,5798.47,5700.87,5773.42
2000-02-02,5814.26,5956.14,5811.36,5946.86
2000-02-03,6025.84,6149.67,5979.06,6149.67
2000-02-04,6197.4,6312.42,6192.86,6275.72
2000-02-07,6276.47,6336.68,6203.58,6203.58
2000-02-08,6252.31,6396.39,6232.95,6297.66
2000-02-09,6390.79,6396.97,6240.07,6271.6
2000-02-10,6212.56,6250.72,6168.66,6207.52
2000-02-11,6263.44,6324.06,6148.47,6287.01
2000-02-14,6241.91,6270.6,6191.76,6268.32
2000-02-15,6286.01,6330.01,6076.86,6092.63
2000-02-16,6160.42,6178.07,5997.77,6046.27
2000-02-17,6040,6222.87,6027.22,6154.96
2000-02-18,6166.12,6184,6044.22,6062.72
2000-02-21,5979.13,5994.04,5928.04,5967.28
2000-02-22,5986.85,6066.11,5920.61,5963.31
2000-02-23,6038.86,6064.21,5992.02,6031.25
