Date,DxA4,DxPL,DxSM,CcA4,CcPL,CcSM,FtA4,FtPL,FtSM,DwA4,DwPL,DwSM,NiA4,NikPL,NikSM,OzA4,OzPL,OzSM,tot,,4,,,,,,,,,,,,,,,
30/10/2007,0,0,0,-48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,
31/10/2007,0,0,0,99,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,
01/11/2007,0,0,0,-674,121,0,0,0,0,0,0,0,0,0,0,0,0,0,121,,,,,,,,,,,,,,,,,
02/11/2007,0,0,0,-150,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,,,,,,,,,,,,,,,,,
05/11/2007,0,0,0,-7,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,,,,,,,,,,,,,,,,,
06/11/2007,0,0,0,-524,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,,,,,,,,,,,,,,,,,
07/11/2007,0,0,0,40,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,,,,,,,,,,,,,,,,,
08/11/2007,-517,-47,0,-349,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,,,,,,,,,,,,,,,,,
09/11/2007,-274,18,0,157,-117,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,,,,,,,,,,,,,,,,,
12/11/2007,-611,-27,0,-658,-47,3,0,0,0,0,0,0,0,0,0,0,0,0,-74,,,,,,,,,,,,,,,,,
13/11/2007,-165,3,0,380,30,3,0,0,0,0,0,0,0,0,0,0,0,0,33,,,,,,,,,,,,,,,,,
14/11/2007,-830,38,0,175,-12,2,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,
15/11/2007,-15,115,0,-304,37,2,0,0,0,0,0,0,0,0,0,0,0,0,152,,,,,,,,,,,,,,,,,
16/11/2007,-1022,24,0,-52,-5,2,0,0,0,0,0,0,0,0,0,-157,68,0,87,,,,,,,,,,,,,,,,,
19/11/2007,-658,96,0,-372,87,3,0,0,0,0,0,0,0,0,0,251,63,0,246,,,,,,,,,,,,,,,,,
20/11/2007,412,80,0,194,47,4,0,0,0,0,0,0,0,0,0,-332,73,0,200,,,,,,,,,,,,,,,,,
21/11/2007,194,-52,7,134,-47,4,0,0,0,0,0,0,0,0,0,2,-52,0,-151,,,,,,,,,,,,,,,,,
22/11/2007,170,23,8,-293,-13,4,0,0,0,0,0,0,0,0,0,-251,30,0,40,,,,,,,,,,,,,,,,,
23/11/2007,194,44,8,68,115,5,0,0,0,0,0,0,0,0,0,-135,6,0,165,,,,,,,,,,,,,,,,,
26/11/2007,-776,75,9,-293,100,6,0,0,0,0,0,0,0,0,0,-38,-113,0,62,,,,,,,,,,,,,,,,,
27/11/2007,-758,7,9,-22,-12,5,0,0,0,0,0,0,0,0,0,-136,9,0,4,,,,,,,,,,,,,,,,,
28/11/2007,549,172,9,814,99,6,0,0,0,0,0,0,0,0,0,64,-59,0,212,,,,,,,,,,,,,,,,,
29/11/2007,63,10,9,704,1,6,-97,-43,0,0,0,0,0,0,0,-236,-48,6,-80,,,,,,,,,,,,,,,,,
30/11/2007,309,99,9,94,68,7,324,83,0,0,0,0,0,0,0,786,75,6,325,,,,,,,,,,,,,,,,,
03/12/2007,-66,22,9,-185,25,7,47,-45,0,0,0,0,0,0,0,174,2,6,4,,,,,,,,,,,,,,,,,
04/12/2007,229,-33,8,340,-73,6,10,-72,0,0,0,0,0,0,0,294,6,6,-172,,,,,,,,,,,,,,,,,
05/12/2007,-58,-94,8,236,73,7,900,179,0,0,0,0,0,0,0,-313,12,7,170,,,,,,,,,,,,,,,,,
06/12/2007,492,-17,7,-154,8,8,153,-8,0,0,0,0,0,0,0,-54,-69,6,-86,,,,,,,,,,,,,,,,,
07/12/2007,108,31,7,-714,-19,7,151,69,0,0,0,0,0,0,0,220,43,6,124,,,,,,,,,,,,,,,,,
10/12/2007,-204,-60,6,-13,-67,6,312,10,0,0,0,0,0,0,0,-187,32,7,-85,,,,,,,,,,,,,,,,,
11/12/2007,-143,41,6,-333,40,7,-240,28,0,0,0,0,0,0,0,194,44,7,153,,,,,,,,,,,,,,,,,
12/12/2007,369,107,6,-13,-93,6,12,23,6,0,0,0,0,0,0,-242,39,8,76,,,,,,,,,,,,,,,,,
13/12/2007,-306,86,6,-407,86,6,-793,196,7,0,0,0,0,0,0,126,-21,8,347,,,,,,,,,,,,,,,,,
14/12/2007,129,-1,5,-318,20,6,201,33,7,-538,175,0,0,0,0,-212,96,8,323,,,,,,,,,,,,,,,,,
17/12/2007,-213,59,5,-225,18,6,-91,119,8,-161,172,0,0,0,0,-672,205,8,573,,,,,,,,,,,,,,,,,
18/12/2007,152,40,6,-463,-10,6,100,1,9,231,63,0,0,0,0,-195,21,8,115,,,,,,,,,,,,,,,,,
19/12/2007,457,-28,6,-116,20,6,160,5,9,720,-25,0,0,0,0,-37,31,8,3,,,,,,,,,,,,,,,,,
20/12/2007,997,27,7,-43,10,6,64,62,10,145,40,0,0,0,0,98,-44,8,95,,,,,,,,,,,,,,,,,
21/12/2007,161,90,7,209,26,7,130,88,10,1119,209,0,0,0,0,329,58,8,471,,,,,,,,,,,,,,,,,
24/12/2007,0,0,0,-539,6,8,575,45,10,-24,-99,0,0,0,0,133,57,8,9,,,,,,,,,,,,,,,,,
26/12/2007,0,0,0,0,0,0,0,0,0,-192,-4,0,0,0,0,0,0,0,-4,,,,,,,,,,,,,,,,,
27/12/2007,-406,0,7,410,1,8,128,19,10,-879,189,0,0,0,0,213,24,8,233,,,,,,,,,,,,,,,,,
28/12/2007,-260,-56,6,783,32,9,-269,21,10,634,5,7,0,0,0,-78,-13,7,-11,,,,,,,,,,,,,,,,,
31/12/2007,0,0,0,-182,7,9,-38,20,10,192,-99,6,0,0,0,235,-5,7,-77,,,,,,,,,,,,,,,,,
