"Date","Open","High","Low","Close"
2000-01-04,3152.5,3152.5,3122.4,3124.1
2000-01-05,3124.1,3124.1,3035.3,3050.9
2000-01-06,3050.9,3075.4,3026,3030.1
2000-01-07,3030.1,3048.3,3016.2,3044.5
2000-01-10,3044.5,3111.5,3044.5,3103.1
2000-01-11,3103.1,3173.9,3103.1,3164.6
2000-01-12,3164.6,3164.6,3095.5,3104.6
2000-01-13,3104.6,3105.9,3089,3095.8
2000-01-14,3095.8,3131.6,3095.8,3131.6
2000-01-17,3131.6,3147.5,3131,3139.9
2000-01-18,3139.9,3157.1,3127.2,3151.2
2000-01-19,3151.2,3151.2,3104.1,3105.4
2000-01-20,3105.4,3139.5,3079.5,3137.1
2000-01-21,3137.1,3137.1,3097.6,3103.4
2000-01-24,3103.4,3115.4,3096.4,3096.6
2000-01-25,3096.6,3096.6,3048.1,3078.6
2000-01-26,3096.6,3096.6,3048.1,3078.6
2000-01-27,3078.6,3089.4,3072,3083.4
2000-01-28,3083.4,3107.1,3082,3092.1
2000-01-31,3092.1,3096,3069.4,3096
2000-02-01,3096,3108.7,3077.8,3084.5
2000-02-02,3084.5,3124.2,3084.5,3116.3
2000-02-03,3116.3,3135.5,3103,3135.1
2000-02-04,3135.1,3141.7,3115.1,3115.1
2000-02-07,3115.1,3138.3,3113.4,3130.4
2000-02-08,3130.4,3141.5,3120.5,3124
2000-02-09,3124,3159.6,3124,3134
2000-02-10,3134,3175.3,3120.5,3172.5
2000-02-11,3172.5,3174.7,3145.3,3167.1
2000-02-14,3167.1,3167.1,3128.6,3135.3
2000-02-15,3135.3,3168.5,3135.3,3158.1
2000-02-16,3158.1,3194.2,3145.9,3148.3
2000-02-17,3145.5,3154.3,3124.3,3144.9
2000-02-18,3144.9,3157.2,3114.3,3120.1
2000-02-21,3120.1,3122,3083.5,3117.1
2000-02-22,3117.1,3123.2,3097.4,3101.2
2000-02-23,3101.2,3126.3,3096.1,3112.5
2000-02-24,3112.5,3133.7,3101.3,3106.9
2000-02-25,3106.9,3129.7,3088.6,3123.7
2000-02-28,3123.7,3126.3,3108.1,3118
2000-02-29,3118,3151,3118,3135.7
2000-03-01,3135.7,3195.7,3127.4,3192.6
2000-03-02,3192.6,3228.3,3192.6,3220
2000-03-03,3220,3255.7,3203.1,3225.8
2000-03-06,3225.8,3255.2,3219.4,3232.1
2000-03-07,3232.1,3251,3207.5,3251
